Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings,position_conf,position_conf_num
62,1659976099509,08/08/2022 16:28:19,6895778,2,60,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",3,For,It will help things return to less restrictive guidelines in a shorter time period,Pro,6,NA,NA
63,1659976101427,08/08/2022 16:28:21,6895778,2,61,Somewhat Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,2,Against,Not enough research has gone into the vaccines.,Pro,3,NA,NA
64,1659976104788,08/08/2022 16:28:24,6895778,2,62,Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",1,For,The vaccines are produced following strict guidelines,Pro,6,NA,NA
3,1659975933707,08/08/2022 16:25:33,6895777,2,1,Somewhat Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I am pregnant or planning a pregnancy,Pro,5,NA,NA
4,1659975937729,08/08/2022 16:25:37,6895777,2,2,Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,1,For,They started developing it when covid first started.,Pro,2,NA,NA
5,1659975947004,08/08/2022 16:25:47,6895777,2,3,Somewhat Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",3,For,It will help things return to less restrictive guidelines in a shorter time period,Pro,5,NA,NA
6,1659975948895,08/08/2022 16:25:48,6895777,2,4,Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",1,For,The vaccines are produced following strict guidelines,Pro,6,NA,NA
7,1659975954031,08/08/2022 16:25:54,6895777,2,5,Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",3,Against,They only tackle one variant which means they wont be effective for other variants,Pro,2,NA,NA
8,1659975955826,08/08/2022 16:25:55,6895777,2,6,Strongly Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",2,Against,covid is all a hoax made up to cull the population as its too big,Pro,1,NA,NA
9,1659975965486,08/08/2022 16:26:05,6895777,2,7,Somewhat Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,Don't trust government,Pro,5,NA,NA
10,1659975967731,08/08/2022 16:26:07,6895777,2,8,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",1,For,It reduces the severity of symptoms if i catch covid.,Pro,6,NA,NA
11,1659975979432,08/08/2022 16:26:19,6895777,2,9,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,my own medical conditions,Pro,6,NA,NA
12,1659975981779,08/08/2022 16:26:21,6895777,2,10,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,because I want to help get the world back to normal,Pro,6,NA,NA
13,1659975984828,08/08/2022 16:26:24,6895777,2,11,Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",3,For,The more people that are vaccinated the more successful we will be of bringing covid under control and get our lives back to normal,Pro,6,NA,NA
14,1659975987801,08/08/2022 16:26:27,6895777,2,12,Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",1,Against,"It affects my DNA, i don't want anything that will change my DNA",Pro,2,NA,NA
15,1659975991205,08/08/2022 16:26:31,6895777,2,13,Somewhat Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",2,For,They are effective at protecting against other variants,Pro,5,NA,NA
16,1659975994260,08/08/2022 16:26:34,6895777,2,14,Somewhat Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",2,Against,"It is the government controlling us, we deserve a choice.",Pro,3,NA,NA
17,1659975996030,08/08/2022 16:26:36,6895777,2,15,Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",1,Against,it was produced too quickly to be effective,Pro,2,NA,NA
18,1659975999360,08/08/2022 16:26:39,6895777,2,16,Somewhat Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,More people vaccinated less chance of mutations in the virus,Pro,5,NA,NA
19,1659976002026,08/08/2022 16:26:42,6895777,2,17,Somewhat Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",2,Against,there are risks of blood clots and other serious side effects that are too risky,Pro,3,NA,NA
20,1659976005037,08/08/2022 16:26:45,6895777,2,18,Strongly Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",3,Against,everyone else is getting it so i don't need too,Pro,1,NA,NA
21,1659976025543,08/08/2022 16:27:05,6895777,2,19,Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,1,Against,I don't believe in the vaccines.,Pro,2,NA,NA
22,1659976029266,08/08/2022 16:27:09,6895777,2,20,Neither Agree nor Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,Scared of blood clotting,Pro,4,NA,NA
23,1659976030942,08/08/2022 16:27:10,6895777,2,21,Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,Vaccination keeps hospitalisation down,Pro,6,NA,NA
24,1659976032057,08/08/2022 16:27:12,6895777,2,22,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",3,For,Want to get back to normal life,Pro,6,NA,NA
25,1659976033408,08/08/2022 16:27:13,6895777,2,23,Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,3,For,Good for the community.,Pro,6,NA,NA
26,1659976035099,08/08/2022 16:27:15,6895777,2,24,Somewhat Disagree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,There's not been enough time to develop a safe vaccine,Pro,3,NA,NA
27,1659976036646,08/08/2022 16:27:16,6895777,2,25,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,"To protect myself, family and friends from getting Covid",Pro,6,NA,NA
29,1659976043315,08/08/2022 16:27:23,6895777,2,27,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I'm unlikely to get very ill if I get Covid,Pro,6,NA,NA
30,1659976044471,08/08/2022 16:27:24,6895777,2,28,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",2,For,Want to protect others,Pro,6,NA,NA
32,1659976052614,08/08/2022 16:27:32,6895777,2,30,Somewhat Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,2,Against,I don't think it's been tested long enough compared to other vaccines,Pro,3,NA,NA
33,1659976058369,08/08/2022 16:27:38,6895777,2,31,Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",3,For,having the vaccine with a day or two max side effects is better than getting covid and dying,Pro,6,NA,NA
34,1659976058974,08/08/2022 16:27:38,6895777,2,32,Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",2,For,it can make sure i don't transmit it to other people so keep them safe as well as me,Pro,6,NA,NA
35,1659976063988,08/08/2022 16:27:43,6895777,2,33,Somewhat Disagree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Don't need it I am not at risk,Pro,3,NA,NA
36,1659976067384,08/08/2022 16:27:47,6895777,2,34,Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",1,Against,it has not been tested enough so i don't know its safe,Pro,2,NA,NA
37,1659976079015,08/08/2022 16:27:59,6895777,2,35,Somewhat Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,1,For,Prevents me from getting the virus.,Pro,5,NA,NA
38,1659976081068,08/08/2022 16:28:01,6895777,2,36,Somewhat Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,3,For,It has been our escape route from the lockdown.,Pro,5,NA,NA
39,1659976082968,08/08/2022 16:28:02,6895777,2,37,Somewhat Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,3,Against,Don't like the idea that the government is injecting me.,Pro,3,NA,NA
40,1659976084939,08/08/2022 16:28:04,6895777,2,38,Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,2,For,Less like to catch and pass on the virus.,Pro,6,NA,NA
41,1659976086276,08/08/2022 16:28:06,6895777,2,39,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,So society can get back to normal more quickly,Pro,6,NA,NA
42,1659976088204,08/08/2022 16:28:08,6895777,2,40,Somewhat Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,2,Against,Not enough research has gone into the vaccines.,Pro,3,NA,NA
43,1659976091124,08/08/2022 16:28:11,6895777,2,41,Neither Agree nor Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,More people vaccinated builds herd immunity,Pro,4,NA,NA
44,1659976093395,08/08/2022 16:28:13,6895777,2,42,Somewhat Disagree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Everyone at risk has now had a vaccine,Pro,3,NA,NA
45,1659976096173,08/08/2022 16:28:16,6895777,2,43,Neither Agree nor Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,3,Against,It should be a personal choice for everyone to decide yes or no for themselves,Pro,4,NA,NA
46,1659976099796,08/08/2022 16:28:19,6895777,2,44,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,3,For,We need to return to pre Covid status and normality and the vaccine will help to acheive that.,Pro,6,NA,NA
47,1659976101005,08/08/2022 16:28:21,6895777,2,45,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,1,For,Im protecting myself and my family.,Pro,6,NA,NA
48,1659976106090,08/08/2022 16:28:26,6895777,2,46,Somewhat Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",1,For,if everyone gets vaccinated we can slow/stop the mutations which takes away a lot of its power,Pro,5,NA,NA
49,1659976107914,08/08/2022 16:28:27,6895777,2,47,Somewhat Disagree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,I don't believe there was enough research done on vacines,Pro,3,NA,NA
50,1659976116415,08/08/2022 16:28:36,6895777,2,48,Neither Agree nor Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,1,Against,Im young and want to start a family. I'm not sure about the long term effects on fertility.,Pro,4,NA,NA
51,1659976118573,08/08/2022 16:28:38,6895777,2,49,Somewhat Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,So I can maybe go on holiday in the future without having to isolate or pay for additional tests!,Pro,5,NA,NA
52,1659976132282,08/08/2022 16:28:52,6895777,2,50,Somewhat Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",2,Against,Scared of risks related to vaccines,Pro,5,NA,NA
53,1659976135018,08/08/2022 16:28:55,6895777,2,51,Somewhat Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,to prevent myself catching Covid,Pro,5,NA,NA
54,1659976140522,08/08/2022 16:29:00,6895777,2,52,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",2,For,"It helps protect me and others around me, having a reducing effect on transmission rates",Pro,6,NA,NA
55,1659976144309,08/08/2022 16:29:04,6895777,2,53,Somewhat Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,3,Against,"Not trialed enough, vaccine was too rushed.",Pro,3,NA,NA
56,1659976146669,08/08/2022 16:29:06,6895777,2,54,Somewhat Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,1,Against,"Infertility, blood clots, not safe",Pro,3,NA,NA
57,1659976150319,08/08/2022 16:29:10,6895777,2,55,Neither Agree nor Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,Long term side effects not known,Pro,4,NA,NA
58,1659976152034,08/08/2022 16:29:12,6895777,2,56,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,2,For,It's for the good of the whole world.,Pro,6,NA,NA
59,1659976154565,08/08/2022 16:29:14,6895777,2,57,Somewhat Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,2,For,There's no evidence of infertility.,Pro,5,NA,NA
60,1659976156720,08/08/2022 16:29:16,6895777,2,58,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",1,For,Want to be safe and protect myself,Pro,6,NA,NA
61,1659976157960,08/08/2022 16:29:17,6895777,2,59,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,to protect others around me,Pro,6,NA,NA
62,1659976159866,08/08/2022 16:29:19,6895777,2,60,Strongly Disagree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",3,Against,Don't believe in covid,Pro,1,NA,NA
63,1659976161899,08/08/2022 16:29:21,6895777,2,61,Somewhat Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",3,Against,Covid is no worse than flu.,Pro,3,NA,NA
64,1659976172839,08/08/2022 16:29:32,6895777,2,62,Somewhat Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,2,Against,I feel like I're being forced.,Pro,3,NA,NA
3,1659976030484,08/08/2022 16:27:10,6895779,2,1,Somewhat Disagree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",2,Against,Scared of risks related to vaccines,Pro,3,NA,NA
4,1659976035648,08/08/2022 16:27:15,6895779,2,2,Disagree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,I don't believe there was enough research done on vacines,Pro,2,NA,NA
5,1659976040790,08/08/2022 16:27:20,6895779,2,3,Somewhat Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",3,Against,They only tackle one variant which means they wont be effective for other variants,Pro,3,NA,NA
6,1659976047118,08/08/2022 16:27:27,6895779,2,4,Somewhat Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,3,Against,It should be a personal choice for everyone to decide yes or no for themselves,Pro,3,NA,NA
7,1659976062303,08/08/2022 16:27:42,6895779,2,5,Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,3,For,Good for the community.,Pro,6,NA,NA
8,1659976067390,08/08/2022 16:27:47,6895779,2,6,Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",1,For,The vaccines are produced following strict guidelines,Pro,6,NA,NA
9,1659976072017,08/08/2022 16:27:52,6895779,2,7,Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",3,For,having the vaccine with a day or two max side effects is better than getting covid and dying,Pro,6,NA,NA
10,1659976076983,08/08/2022 16:27:56,6895779,2,8,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,my own medical conditions,Pro,6,NA,NA
11,1659976078391,08/08/2022 16:27:58,6895779,2,9,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,to protect others around me,Pro,6,NA,NA
12,1659976081347,08/08/2022 16:28:01,6895779,2,10,Somewhat Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",3,Against,everyone else is getting it so i don't need too,Pro,3,NA,NA
14,1659976090095,08/08/2022 16:28:10,6895779,2,12,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,1,For,Im protecting myself and my family.,Pro,6,NA,NA
15,1659976102687,08/08/2022 16:28:22,6895779,2,13,Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",2,For,it can make sure i don't transmit it to other people so keep them safe as well as me,Pro,6,NA,NA
16,1659976105931,08/08/2022 16:28:25,6895779,2,14,Somewhat Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",3,Against,Covid is no worse than flu.,Pro,3,NA,NA
17,1659976111723,08/08/2022 16:28:31,6895779,2,15,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",3,For,It will help things return to less restrictive guidelines in a shorter time period,Pro,6,NA,NA
18,1659976117063,08/08/2022 16:28:37,6895779,2,16,Somewhat Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,3,Against,Don't like the idea that the government is injecting me.,Pro,3,NA,NA
19,1659976121625,08/08/2022 16:28:41,6895779,2,17,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",1,For,Want to be safe and protect myself,Pro,6,NA,NA
20,1659976124373,08/08/2022 16:28:44,6895779,2,18,Somewhat Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",1,Against,it was produced too quickly to be effective,Pro,3,NA,NA
21,1659976131370,08/08/2022 16:28:51,6895779,2,19,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,3,For,We need to return to pre Covid status and normality and the vaccine will help to acheive that.,Pro,6,NA,NA
22,1659976133976,08/08/2022 16:28:53,6895779,2,20,Somewhat Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,3,Against,"Not trialed enough, vaccine was too rushed.",Pro,3,NA,NA
23,1659976138402,08/08/2022 16:28:58,6895779,2,21,Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,3,For,It has been our escape route from the lockdown.,Pro,6,NA,NA
24,1659976142723,08/08/2022 16:29:02,6895779,2,22,Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,2,Against,I don't think it's been tested long enough compared to other vaccines,Pro,2,NA,NA
25,1659976145493,08/08/2022 16:29:05,6895779,2,23,Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,2,Against,Not enough research has gone into the vaccines.,Pro,2,NA,NA
26,1659976148340,08/08/2022 16:29:08,6895779,2,24,Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",2,Against,"It is the government controlling us, we deserve a choice.",Pro,2,NA,NA
27,1659976152252,08/08/2022 16:29:12,6895779,2,25,Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",1,Against,it has not been tested enough so i don't know its safe,Pro,2,NA,NA
28,1659976155542,08/08/2022 16:29:15,6895779,2,26,Disagree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,There's not been enough time to develop a safe vaccine,Pro,2,NA,NA
29,1659976161686,08/08/2022 16:29:21,6895779,2,27,Somewhat Disagree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Everyone at risk has now had a vaccine,Pro,3,NA,NA
30,1659976167038,08/08/2022 16:29:27,6895779,2,28,Agree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",1,For,if everyone gets vaccinated we can slow/stop the mutations which takes away a lot of its power,Pro,6,NA,NA
31,1659976170629,08/08/2022 16:29:30,6895779,2,29,Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,1,Against,"Infertility, blood clots, not safe",Pro,2,NA,NA
32,1659976173394,08/08/2022 16:29:33,6895779,2,30,Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",1,Against,"It affects my DNA, i don't want anything that will change my DNA",Pro,2,NA,NA
33,1659976177613,08/08/2022 16:29:37,6895779,2,31,Somewhat Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",2,For,They are effective at protecting against other variants,Pro,5,NA,NA
34,1659976185297,08/08/2022 16:29:45,6895779,2,32,Somewhat Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I'm unlikely to get very ill if I get Covid,Pro,5,NA,NA
35,1659976188477,08/08/2022 16:29:48,6895779,2,33,Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,More people vaccinated less chance of mutations in the virus,Pro,6,NA,NA
36,1659976191402,08/08/2022 16:29:51,6895779,2,34,Disagree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Don't need it I am not at risk,Pro,2,NA,NA
37,1659976194228,08/08/2022 16:29:54,6895779,2,35,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",3,For,Want to get back to normal life,Pro,6,NA,NA
38,1659976197620,08/08/2022 16:29:57,6895779,2,36,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,to prevent myself catching Covid,Pro,6,NA,NA
39,1659976199319,08/08/2022 16:29:59,6895779,2,37,Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,1,For,Prevents me from getting the virus.,Pro,6,NA,NA
40,1659976201671,08/08/2022 16:30:01,6895779,2,38,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,because I want to help get the world back to normal,Pro,6,NA,NA
41,1659976204329,08/08/2022 16:30:04,6895779,2,39,Somewhat Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,Long term side effects not known,Pro,3,NA,NA
42,1659976208870,08/08/2022 16:30:08,6895779,2,40,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,So I can maybe go on holiday in the future without having to isolate or pay for additional tests!,Pro,6,NA,NA
43,1659976211814,08/08/2022 16:30:11,6895779,2,41,Somewhat Disagree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",2,Against,there are risks of blood clots and other serious side effects that are too risky,Pro,3,NA,NA
44,1659976213176,08/08/2022 16:30:13,6895779,2,42,Somewhat Disagree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",3,Against,Don't believe in covid,Pro,3,NA,NA
45,1659976220215,08/08/2022 16:30:20,6895779,2,43,Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,1,For,They started developing it when covid first started.,Pro,6,NA,NA
46,1659976222176,08/08/2022 16:30:22,6895779,2,44,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,"To protect myself, family and friends from getting Covid",Pro,6,NA,NA
47,1659976227186,08/08/2022 16:30:27,6895779,2,45,Strongly Disagree,statements,51,A few times a year,Most months,30,Female,"Undergraduate degree (BSc, BA)",2,Against,covid is all a hoax made up to cull the population as its too big,Pro,1,NA,NA
48,1659976232175,08/08/2022 16:30:32,6895779,2,46,Agree,statements,57,A few times a year,Most months,49,Female,"Undergraduate degree (BSc, BA)",3,For,The more people that are vaccinated the more successful we will be of bringing covid under control and get our lives back to normal,Pro,6,NA,NA
49,1659976258439,08/08/2022 16:30:58,6895779,2,47,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",2,For,Want to protect others,Pro,6,NA,NA
50,1659976261263,08/08/2022 16:31:01,6895779,2,48,Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,2,For,There's no evidence of infertility.,Pro,6,NA,NA
51,1659976263458,08/08/2022 16:31:03,6895779,2,49,Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,Vaccination keeps hospitalisation down,Pro,6,NA,NA
52,1659976267436,08/08/2022 16:31:07,6895779,2,50,Disagree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I am pregnant or planning a pregnancy,Pro,2,NA,NA
53,1659976276098,08/08/2022 16:31:16,6895779,2,51,Somewhat Disagree,statements,55,Rarely,Rarely,54,Female,GCSEs,1,Against,Im young and want to start a family. I'm not sure about the long term effects on fertility.,Pro,3,NA,NA
54,1659976278932,08/08/2022 16:31:18,6895779,2,52,Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,Scared of blood clotting,Pro,2,NA,NA
55,1659976280306,08/08/2022 16:31:20,6895779,2,53,Disagree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,Don't trust government,Pro,2,NA,NA
56,1659976283945,08/08/2022 16:31:23,6895779,2,54,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",1,For,It reduces the severity of symptoms if i catch covid.,Pro,6,NA,NA
57,1659976286706,08/08/2022 16:31:26,6895779,2,55,Strongly Disagree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,1,Against,I don't believe in the vaccines.,Pro,1,NA,NA
58,1659976289684,08/08/2022 16:31:29,6895779,2,56,Somewhat Disagree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,2,Against,I feel like I're being forced.,Pro,3,NA,NA
60,1659976296769,08/08/2022 16:31:36,6895779,2,58,Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,So society can get back to normal more quickly,Pro,6,NA,NA
61,1659976298316,08/08/2022 16:31:38,6895779,2,59,Agree,statements,55,Rarely,Rarely,54,Female,GCSEs,2,For,It's for the good of the whole world.,Pro,6,NA,NA
62,1659976300292,08/08/2022 16:31:40,6895779,2,60,Agree,statements,58,Most months,A few times a year,45,Male,Vocational Training / Apprenticeship,2,For,Less like to catch and pass on the virus.,Pro,6,NA,NA
63,1659976304174,08/08/2022 16:31:44,6895779,2,61,Agree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",2,For,"It helps protect me and others around me, having a reducing effect on transmission rates",Pro,6,NA,NA
64,1659976306669,08/08/2022 16:31:46,6895779,2,62,Agree,statements,54,Rarely,Most weeks,56,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,More people vaccinated builds herd immunity,Pro,6,NA,NA
4,1659976014897,08/08/2022 16:26:54,6895800,2,2,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,because I want to help get the world back to normal,Pro,6,NA,NA
5,1659976017217,08/08/2022 16:26:57,6895800,2,3,Disagree,statements,52,Most weeks,Most days,33,Male,"Undergraduate degree (BSc, BA)",2,Against,"It is the government controlling us, we deserve a choice.",Pro,2,NA,NA
6,1659976020013,08/08/2022 16:27:00,6895800,2,4,Agree,statements,60,Most months,Most months,31,Female,"Undergraduate degree (BSc, BA)",3,For,Want to get back to normal life,Pro,6,NA,NA
7,1659976024800,08/08/2022 16:27:04,6895800,2,5,Somewhat Agree,statements,56,Never,A few times a year,35,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Everyone at risk has now had a vaccine,Pro,5,NA,NA
8,1659976027307,08/08/2022 16:27:07,6895800,2,6,Somewhat Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,3,For,It has been our escape route from the lockdown.,Pro,5,NA,NA
9,1659976030335,08/08/2022 16:27:10,6895800,2,7,Agree,statements,59,Most weeks,Most months,41,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,to protect others around me,Pro,6,NA,NA
10,1659976035356,08/08/2022 16:27:15,6895800,2,8,Agree,statements,53,Most weeks,Most months,25,Female,Vocational Training / Apprenticeship,1,For,They started developing it when covid first started.,Pro,6,NA,NA
