Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
62,1646420000000,04/03/2022 17:37,5946610,2,59,Strongly Agree,statements,10,Rarely,Rarely,39,Male,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",6,Against,animals are part of the food chain,Anti,7,ANTI,660,281,Against,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
63,1646420000000,04/03/2022 17:37,5946610,2,60,Strongly Agree,statements,8,Rarely,Once or twice a year,24,Other,Vocational Training / Apprenticeship,6,Against,You can't have a properly balanced diet without at least some animal products,Anti,7,ANTI,648,281,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
3,1646419069181,04/03/2022 18:37:49,5947336,2,1,Somewhat Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",5,Against,Low variety of food diet,Anti,5,ANTI,737,293,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
4,1646419075541,04/03/2022 18:37:55,5947336,2,2,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",6,Against,I dislike the taste of vegan alternatives,Anti,6,ANTI,762,293,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
5,1646419083684,04/03/2022 18:38:03,5947336,2,3,Strongly Disagree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",4,Against,Vegans are hippies and are probably putting worse into their bodies,Anti,1,ANTI,766,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
6,1646419088278,04/03/2022 18:38:08,5947336,2,4,Strongly Disagree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",6,Against,I dislike vegan people.,Anti,1,ANTI,750,293,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
7,1646419093500,04/03/2022 18:38:13,5947336,2,5,Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",6,Against,Animal products are more delicious.,Anti,6,ANTI,756,293,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
8,1646419097945,04/03/2022 18:38:17,5947336,2,6,Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",5,Against,I need protein for my diet.,Anti,6,ANTI,755,293,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
9,1646419102347,04/03/2022 18:38:22,5947336,2,7,Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",6,Against,Dont like others substitutes of meat and fish,Anti,6,ANTI,726,293,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
10,1646419629608,04/03/2022 18:47:09,5947336,2,8,Somewhat Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to take the time to eat at specific places or learn to prepare food in a specific way,Anti,5,ANTI,743,293,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
12,1646419649657,04/03/2022 18:47:29,5947336,2,10,Neither Agree nor Disagree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,4,Against,You can't get all the nutrients from plants alone.,Anti,4,ANTI,772,293,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
14,1646419658878,04/03/2022 18:47:38,5947336,2,12,Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",5,Against,I have no idea how to substitute the nutrients gained from meat,Anti,6,ANTI,761,293,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
17,1646419678750,04/03/2022 18:47:58,5947336,2,15,Strongly Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",4,Against,I enjoy consuming animal products.,Anti,7,ANTI,748,293,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
21,1646419923571,04/03/2022 18:52:03,5947336,2,19,Somewhat Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",6,Against,"A better protein rich diet, which can be good for several reasons.",Anti,5,ANTI,732,293,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
22,1646419930290,04/03/2022 18:52:10,5947336,2,20,Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",5,Against,"I don't care about where the meat comes from, killing animals for meat is just how the world functions",Anti,6,ANTI,731,293,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
24,1646419943717,04/03/2022 18:52:23,5947336,2,22,Somewhat Disagree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",6,Against,It might be too much of a hassle for too little or no gain,Anti,3,ANTI,744,293,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
27,1646419955248,04/03/2022 18:52:35,5947336,2,25,Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",6,Against,You need animal products for different vitamins and supplements,Anti,6,ANTI,768,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
29,1646419964490,04/03/2022 18:52:44,5947336,2,27,Strongly Agree,statements,22,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",4,Against,"I like to consume meat, and would not go without it.",Anti,7,ANTI,730,293,Against,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
31,1646419979920,04/03/2022 18:52:59,5947336,2,29,Agree,statements,26,Rarely,Rarely,27,Male,"Postgraduate degree (MSc, MA, MPhil)",4,Against,I usually won't say as long as the topic comes up,Anti,6,ANTI,754,293,Against,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
36,1646420009156,04/03/2022 18:53:29,5947336,2,34,Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",6,Against,Low protein and other vitamins only obtainable from animals,Anti,6,ANTI,738,293,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
37,1646420012641,04/03/2022 18:53:32,5947336,2,35,Strongly Agree,statements,27,A few times a year,Most months,22,Male,"Vocational Training / Apprenticeship,A levels",4,Against,I would miss the taste of meat and meat-oriented dishes too much,Anti,7,ANTI,760,293,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
40,1646420022590,04/03/2022 18:53:42,5947336,2,38,Strongly Agree,statements,28,Rarely,Rarely,37,Female,"Undergraduate degree (BSc, BA)",5,Against,I couldn't be dealing with the strict vegan way,Anti,7,ANTI,767,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
42,1646420028020,04/03/2022 18:53:48,5947336,2,40,Strongly Agree,statements,24,Never,Never,25,Male,"Undergraduate degree (BSc, BA)",4,Against,A vegan diet can be more expensive in the place where I live,Anti,7,ANTI,742,293,Against,Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
44,1646420034630,04/03/2022 18:53:54,5947336,2,42,Strongly Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",4,Against,I simply love the taste of meat,Anti,7,ANTI,778,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
48,1646420053654,04/03/2022 18:54:13,5947336,2,46,Somewhat Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,5,Against,It is in human nature to hunt and eat meat.,Anti,5,ANTI,773,293,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
50,1646420063020,04/03/2022 18:54:23,5947336,2,48,Agree,statements,25,Rarely,Never,22,Male,"Undergraduate degree (BSc, BA)",5,Against,I do not believe that meat consumption is as big a factor of damage to the environment.,Anti,6,ANTI,749,293,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
54,1646420093225,04/03/2022 18:54:53,5947336,2,52,Strongly Agree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",4,Against,I cannot live without eating things that I like that including meat,Anti,7,ANTI,724,293,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
58,1646420126420,04/03/2022 18:55:26,5947336,2,56,Agree,statements,23,Rarely,Never,18,Male,"Undergraduate degree (BSc, BA)",4,Against,I dont like the vegetables,Anti,6,ANTI,736,293,Against,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
61,1646420151364,04/03/2022 18:55:51,5947336,2,59,Strongly Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",6,Against,I appreciate the diversity of flavors in my dishes.,Anti,7,ANTI,780,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
62,1646420154292,04/03/2022 18:55:54,5947336,2,60,Strongly Agree,statements,29,Once or twice a year,A few times a year,20,Male,No formal qualifications,6,Against,Becoming vegan is not cheap and it is hard to eat out.,Anti,7,ANTI,774,293,Against,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
63,1646420159828,04/03/2022 18:55:59,5947336,2,61,Somewhat Agree,statements,30,Once or twice a year,Once or twice a year,20,Male,"Undergraduate degree (BSc, BA)",5,Against,I've learned to have a balanced diet.,Anti,5,ANTI,779,293,Against,Somewhat Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
64,1646420167854,04/03/2022 18:56:07,5947336,2,62,Neither Agree nor Disagree,statements,21,Once or twice a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",5,Against,Not wanting to live that life and can be more expensive,Anti,4,ANTI,725,293,Against,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
3,1646420277178,04/03/2022 18:57:57,5947537,2,1,Strongly Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,4,Against,It is natural to eat meat,Anti,7,ANTI,1096,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
5,1646420291165,04/03/2022 18:58:11,5947537,2,3,Agree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,5,Against,veggies taste bad when eaten alone therefore meat is neccesary.,Anti,6,ANTI,1091,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
6,1646420296845,04/03/2022 18:58:16,5947537,2,4,Strongly Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",4,Against,"I like eating meat, it is something that gives joy to me and my family",Anti,7,ANTI,1084,294,Against,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
8,1646420317213,04/03/2022 18:58:37,5947537,2,6,Strongly Agree,statements,90,A few times a year,A few times a year,19,Male,A levels,6,Against,There is not enough concrete evidence that a vegan diet can replace a diet that contains meat and animal products.,Anti,7,ANTI,1140,294,Against,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
11,1646420344721,04/03/2022 18:59:04,5947537,2,9,Disagree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",4,Against,I am not vegan beacuse I think that it's not really good for health therefore you don't eat all kinds of nutritional elements,Anti,2,ANTI,1102,294,Against,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
18,1646420396324,04/03/2022 18:59:56,5947537,2,16,Disagree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,4,Against,theres no animal cruelty happenning nowdays,Anti,2,ANTI,1114,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
21,1646420422818,04/03/2022 19:00:22,5947537,2,19,Strongly Agree,statements,87,Once or twice a year,Rarely,19,Male,A levels,4,Against,"don't like the taste of vegan food / enjoy the taste of meat or animal produce / ""I eat whatever I want to eat""",Anti,7,ANTI,1120,294,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
22,1646420428083,04/03/2022 19:00:28,5947537,2,20,Somewhat Agree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,5,Against,i dont know how vegans can survive without meat,Anti,5,ANTI,1115,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
25,1646420448419,04/03/2022 19:00:48,5947537,2,23,Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",5,Against,you will have low energy and weight problems,Anti,2,ANTI,1133,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
27,1646420461513,04/03/2022 19:01:01,5947537,2,24,Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,4,Against,It's too expensive and a waste of money.,Anti,2,ANTI,1138,294,Against,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
28,1646420466629,04/03/2022 19:01:06,5947537,2,25,Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",6,Against,You will have leaky gut issues,Anti,2,ANTI,1134,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
30,1646420487495,04/03/2022 19:01:27,5947537,2,27,Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,5,Against,non-vegan food is easier to balance regarding nutritions / vegan food doesn't provide all necessary nutritions,Anti,2,ANTI,1121,294,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
33,1646420509690,04/03/2022 19:01:49,5947537,2,30,Disagree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",5,Against,Human body needs meat to work adequately,Anti,2,ANTI,1127,294,Against,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
34,1646420516331,04/03/2022 19:01:56,5947537,2,31,Strongly Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",6,Against,It will bring health consequences in long term not eating meat,Anti,7,ANTI,1128,294,Against,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
36,1646420527288,04/03/2022 19:02:07,5947537,2,33,Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,5,Against,Without meat you cannot get essential elements,Anti,2,ANTI,1097,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
37,1646420546687,04/03/2022 19:02:26,5947537,2,34,Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",6,Against,"why should i a person that lives in modern european country, where the people are already trying to be friendlier to animals and the planet, stop eating meat, while there are 2 countries with billions",Anti,2,ANTI,1086,294,Against,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
39,1646420564382,04/03/2022 19:02:44,5947537,2,36,Strongly Agree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",4,Against,You will have difficulty when dining out as not many restaurants offer vegan choices,Anti,7,ANTI,1132,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
42,1646420588863,04/03/2022 19:03:08,5947537,2,39,Strongly Agree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",5,Against,"I'm not vegan because humans should eat animals, we're on the top of the chain",Anti,7,ANTI,1109,294,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
43,1646420593355,04/03/2022 19:03:13,5947537,2,40,Somewhat Agree,statements,90,A few times a year,A few times a year,19,Male,A levels,5,Against,Most vegan foods taste terrible.,Anti,5,ANTI,1139,294,Against,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
44,1646420604430,04/03/2022 19:03:24,5947537,2,41,Somewhat Disagree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,6,Against,veggies alone are not filling so meat will atleast assist in that area,Anti,3,ANTI,1092,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
46,1646420620848,04/03/2022 19:03:40,5947537,2,43,Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",6,Against,I'm not vegan because meat have good nutrients,Anti,2,ANTI,1110,294,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
47,1646420624539,04/03/2022 19:03:44,5947537,2,44,Strongly Agree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,6,Against,I love the taste of this meat,Anti,7,ANTI,1116,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
49,1646420639022,04/03/2022 19:03:59,5947537,2,46,Agree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",5,Against,I don't eat most of the vegetables so I would not be able to eat anything,Anti,6,ANTI,1103,294,Against,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
50,1646420643466,04/03/2022 19:04:03,5947537,2,47,Strongly Agree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",4,Against,I'm not vegan because meat tastes good,Anti,7,ANTI,1108,294,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
51,1646420664516,04/03/2022 19:04:24,5947537,2,48,Strongly Agree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,4,Against,Id never survive without eating meats...the Zulu tribe believes that manufacturing should indulge on meat. Real man eat meatballs they would say.,Anti,7,ANTI,1090,294,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
55,1646420698232,04/03/2022 19:04:58,5947537,2,52,Strongly Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",5,Against,"Eating meat makes me strong, it is full of protein and good for my muscles",Anti,7,ANTI,1085,294,Against,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
57,1646420713287,04/03/2022 19:05:13,5947537,2,54,Strongly Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,6,Against,don't want to be associated with vegans,Anti,1,ANTI,1122,294,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
62,1646420755800,04/03/2022 19:05:55,5947537,2,59,Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,6,Against,There are animals that will extinct without farming,Anti,2,ANTI,1098,294,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
63,1646420766661,04/03/2022 19:06:06,5947537,2,60,Somewhat Agree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",6,Against,I am not vegan beacuse I think that the best way to be healty is to eat less of everything,Anti,5,ANTI,1104,294,Against,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
64,1646420773965,04/03/2022 19:06:13,5947537,2,61,Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",4,Against,Meat is tasty and not necessarily means pain to animals,Anti,6,ANTI,1126,294,Against,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
3,1646419068318,04/03/2022 18:37:48,5947332,2,1,Somewhat Agree,statements,74,Rarely,Once or twice a year,20,Male,A levels,5,Against,Cannot eat out easily,Anti,5,ANTI,1043,292,Against,Agree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
5,1646419074682,04/03/2022 18:37:54,5947332,2,3,Somewhat Agree,statements,77,Rarely,Once or twice a year,27,Male,"Postgraduate degree (MSc, MA, MPhil)",4,Against,the animals provide you all the nutrients and vitamins and proteins that you need to survive.,Anti,5,ANTI,1060,292,Against,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
7,1646419080751,04/03/2022 18:38:00,5947332,2,5,Neither Agree nor Disagree,statements,80,Never,Never,22,Female,"Undergraduate degree (BSc, BA)",5,Against,too many animals in the world and no space,Anti,4,ANTI,1079,292,Against,Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
8,1646419085492,04/03/2022 18:38:05,5947332,2,6,Agree,statements,79,Most months,Most weeks,20,Male,A levels,5,Against,I am not vegan because I love animal food or meat,Anti,6,ANTI,1073,292,Against,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
9,1646419088824,04/03/2022 18:38:08,5947332,2,7,Neither Agree nor Disagree,statements,79,Most months,Most weeks,20,Male,A levels,6,Against,I am not vegan because I believe that animals were meant to be eaten by humans.,Anti,4,ANTI,1074,292,Against,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
10,1646419094153,04/03/2022 18:38:14,5947332,2,8,Somewhat Disagree,statements,72,Rarely,Most weeks,23,Male,NA,4,Against,Vegans tend to have problems regarding the levels of protein and blood sugar because of their decision to not consume any kind of meat,Anti,3,ANTI,1030,292,Against,Strongly agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
11,1646419097314,04/03/2022 18:38:17,5947332,2,9,Somewhat Disagree,statements,71,Rarely,Never,26,Male,"Undergraduate degree (BSc, BA)",5,Against,Veganism is only a silly fashion imposed by silly people.,Anti,3,ANTI,1025,292,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
14,1646419107480,04/03/2022 18:38:27,5947332,2,12,Neither Agree nor Disagree,statements,76,Never,Rarely,24,Female,"Postgraduate degree (MSc, MA, MPhil)",5,Against,I dont like vegan food,Anti,4,ANTI,1055,292,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
15,1646419109714,04/03/2022 18:38:29,5947332,2,13,Somewhat Agree,statements,74,Rarely,Once or twice a year,20,Male,A levels,4,Against,I will miss the taste of meat,Anti,5,ANTI,1042,292,Against,Agree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Baseline,0,NA
17,1646419114856,04/03/2022 18:38:34,5947332,2,15,Agree,statements,73,A few times a year,A few times a year,19,Male,"Undergraduate degree (BSc, BA)",6,Against,You're free to decide what do you want to eat,Anti,6,ANTI,1038,292,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
18,1646419118075,04/03/2022 18:38:38,5947332,2,16,Somewhat Disagree,statements,80,Never,Never,22,Female,"Undergraduate degree (BSc, BA)",6,Against,humans are naturally omnivores,Anti,3,ANTI,1080,292,Against,Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
19,1646419121529,04/03/2022 18:38:41,5947332,2,17,Neither Agree nor Disagree,statements,75,A few times a year,Never,23,Male,A levels,6,Against,"It's cheaper than the vegan alternative. There might be some subsidies for some foods in some countries, and that's why the prices are low. Lately meat has become very expensive though.",Anti,4,ANTI,1050,292,Against,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
20,1646419123187,04/03/2022 18:38:43,5947332,2,18,Neither Agree nor Disagree,statements,72,Rarely,Most weeks,23,Male,NA,5,Against,Vegan food is really expensive,Anti,4,ANTI,1031,292,Against,Strongly agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
